Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
62f4a141f19081212ab91dfebc4017eb6f874a23cfc70030857ef76b6f479155,2017-06,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender given suspended prison sentence
945bb8381f89db857ba75a06b8ce7c0a040352a0f39c9ce8c219ec6016b3b2e8,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Defendant found not guilty
76f29223f6f22120df3988708f0b4d0d32eacddea7e4830ceaf8348150203817,2017-06,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Offender sent to prison
5108c61c936fede7206a461800d6bbd231e325497688048c6922305ce449dc15,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
c532d916156e706da083122f80c6224cfaefdb386284c6b71aa8150375766773,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Defendant found not guilty
e58a7b2c234a2f789507141f8e3827a5f6af8a5b5c9317ce823b2739f144e7f2,2017-06,City of London Police,City of London Police,-0.079875,51.510995,On or near HART STREET,E01032739,City of London 001F,Court case unable to proceed
ac5454fe77fe436831cf5ff30f7cd9f636a78fa02538a4794354b81501016833,2017-06,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Offender given community sentence
68af5527837b04b251e7952d89aa320c3f839df7c7b29f70e11b2842e8929b09,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Defendant found not guilty
9e38e8a085c108961f4610725c1282737cbe342fc2298a928abd737f3ee2a8c2,2017-06,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender sent to prison
c378512b489c05a1bbe079a94dc4ecaf53adbd739e20ae8981f727a2e622495e,2017-06,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender sent to prison
8d6e91e1d03698837dbd75066e675144c451f9afb9aa7230bec3cce51f2b8b10,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
a872b2c0744e9faeb6c2024db0e82911647f6524a8aa7145df27946721fd01c9,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
9d3bf3c336be0fa623f0b30bb34092562ce26333af9d6ac5b9b71ea31ec7d422,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Offender given suspended prison sentence
1be3b03a7d8a7715010641601492b9a6afd9cc9ab4daf8b1bdd284a42ff83cbe,2017-06,City of London Police,City of London Police,-0.094758,51.512829,On or near Nightclub,E01032739,City of London 001F,Offender fined
87a537e3a87d70093169d39a7812bc5f1e4a8317a13ddce470713d3cf53c6084,2017-06,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender fined
bafff26e2afa15cc11c81db0ce99a27ee02ffcdb113d8f84fd43d3edcac3351f,2017-06,City of London Police,City of London Police,,,No location,,,Defendant sent to Crown Court
918a335ebe8819aaa5433e504d3ffde4f7fcd31f05edc168c1f296d2e75a8c3e,2017-06,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given suspended prison sentence
4455b593c38af7d839778c8325e4bf4d63393ff30171f01e441311b34f061861,2017-06,City of London Police,City of London Police,-0.082965,51.516351,On or near WORMWOOD STREET,E01032739,City of London 001F,Defendant found not guilty
95d848d491d3c23d837acfe9534e5a8314f9c302cf64f9c90ce97b7a8c28d8e2,2017-06,City of London Police,City of London Police,-0.090203,51.511118,On or near SCOTT'S YARD,E01032739,City of London 001F,Offender given community sentence
93c94faa4c923f9bfa90ed684a3ecfac00f58ceb110822ee4e85b809cbf56645,2017-06,City of London Police,City of London Police,-0.076459,51.513061,On or near Further/Higher Educational Building,E01000005,City of London 001E,Offender sent to prison
0a9503bdd456f7cc14a21127c10d12879f71b4462d37d656b4955f4734ff6854,2017-06,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Offender sent to prison
189d5d7cc9f539d678300b6806db6d3af60f935083af7a75ad5d082aa462020d,2017-06,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Offender sent to prison
509e013bbb46c7e2041f8b8f32971e5ed6146cd3acd65b2f592870bfd34775f6,2017-06,City of London Police,City of London Police,-0.085669,51.515100,On or near AUSTIN FRIARS,E01032739,City of London 001F,Offender sent to prison
c5604477730ac17fbfeadb6b12bcaad4dba64c818fce2f75737c1226cbb7af40,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
0283d7d121328aa30597e0898ed0c57d7e4567c227dff036eca33cfacbe91ea2,2017-06,City of London Police,City of London Police,,,No location,,,Defendant sent to Crown Court
6f4c2a8832175645fd3f645ad63efe89681be6c9f7b3e6ea5ca63f0b183b975b,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Offender given suspended prison sentence
209a21a810be4152422551c8b820f2345aba90bb028ddf2b8d3afeb1b473b33d,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Defendant found not guilty
540ce2a264f6d51846a96c73ee7c71e27b7ed3bb4dc1d4659173ec72e647d9cb,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Offender given suspended prison sentence
