OA,Mixed,Asian,Black,Other,White
E00021468,0.06,0.4,0.04,0.03,0.49
E00021469,0.03,0.48,0.09,0.05,0.34
E00021470,0.02,0.36,0.1,0.01,0.5
E00021471,0.02,0.48,0.08,0.04,0.38
E00021473,0.02,0.51,0.08,0.03,0.36
E00021474,0.05,0.69,0.04,0.01,0.2
E00021475,0.03,0.71,0.03,0.03,0.2
E00021476,0.02,0.49,0.09,0.01,0.39
E00021477,0.05,0.37,0.05,0.01,0.51
E00021478,0.05,0.35,0.1,0.02,0.49
E00021479,0.02,0.25,0.12,0.02,0.58
E00021480,0.03,0.32,0.07,0.02,0.57
E00021481,0.03,0.49,0.11,0.02,0.35
E00021482,0.03,0.37,0.04,0.02,0.53
E00021483,0.02,0.33,0.07,0.03,0.55
E00021484,0.06,0.25,0.04,0.01,0.63
E00021485,0.03,0.59,0.16,0.01,0.21
E00021486,0.04,0.5,0.1,0.02,0.34
E00021487,0.04,0.58,0.08,0.0,0.3
E00021488,0.06,0.55,0.09,0.0,0.31
E00021489,0.04,0.54,0.14,0.01,0.28
E00021490,0.03,0.66,0.13,0.0,0.18
E00021491,0.02,0.61,0.13,0.03,0.21
E00021492,0.05,0.64,0.08,0.01,0.22
E00021493,0.03,0.72,0.11,0.01,0.12
E00021494,0.04,0.57,0.09,0.01,0.29
E00021495,0.03,0.69,0.12,0.01,0.16
E00021496,0.03,0.73,0.11,0.02,0.12
E00021497,0.03,0.79,0.08,0.01,0.11
E00021498,0.04,0.62,0.15,0.04,0.15
E00021499,0.06,0.18,0.11,0.03,0.63
E00021500,0.03,0.24,0.18,0.02,0.53
E00021501,0.03,0.43,0.09,0.04,0.42
E00021502,0.04,0.51,0.18,0.05,0.22
E00021503,0.02,0.67,0.12,0.02,0.17
E00021504,0.05,0.56,0.13,0.04,0.24
E00021505,0.05,0.47,0.14,0.02,0.32
E00021506,0.04,0.45,0.13,0.04,0.34
E00021507,0.04,0.37,0.12,0.04,0.43
E00021508,0.04,0.44,0.05,0.02,0.45
E00021509,0.02,0.48,0.1,0.02,0.37
E00021510,0.04,0.25,0.02,0.01,0.69
E00021511,0.06,0.26,0.01,0.06,0.61
E00021516,0.05,0.35,0.06,0.03,0.5
E00021517,0.03,0.36,0.07,0.02,0.52
E00021518,0.03,0.43,0.04,0.02,0.48
E00021519,0.04,0.21,0.02,0.02,0.71
E00021520,0.05,0.28,0.01,0.02,0.65
E00021521,0.06,0.1,0.03,0.0,0.82
E00021522,0.03,0.63,0.09,0.01,0.24
E00021524,0.07,0.46,0.06,0.05,0.36
E00021525,0.03,0.4,0.03,0.01,0.54
E00021526,0.04,0.34,0.04,0.01,0.56
E00021527,0.03,0.33,0.01,0.01,0.61
E00021528,0.06,0.2,0.03,0.0,0.71
E00021529,0.03,0.21,0.31,0.01,0.44
E00021531,0.02,0.58,0.1,0.01,0.29
